,ref_mild,ref_mod,ref_sev,PS_3D_mild,PS_3D_mod,PS_3D_sev
0,0.0,0.0,0.0,0.61493707,0.38455033,0.19393638
1,1.0,1.0,1.0,0.88083255,0.61112505,0.32046303
2,1.0,0.0,0.0,0.81709063,0.5034463,0.24711286
3,1.0,1.0,0.0,0.8411342,0.61386776,0.31078377
4,1.0,1.0,1.0,0.8679441,0.5914719,0.30451867
5,0.0,0.0,0.0,0.62449455,0.40483418,0.1907667
6,0.0,0.0,0.0,0.6239764,0.40546435,0.19465183
7,0.0,0.0,0.0,0.55407345,0.33922082,0.18351522
8,1.0,0.0,0.0,0.8229395,0.5238236,0.28566527
9,1.0,1.0,1.0,0.8258995,0.5823735,0.31274387
10,0.0,0.0,0.0,0.5602475,0.32260054,0.15541168
11,1.0,1.0,1.0,0.795282,0.5674617,0.307313
12,1.0,0.0,0.0,0.7712853,0.43898928,0.22809163
13,0.0,0.0,0.0,0.5822017,0.3630308,0.1747339
14,1.0,0.0,0.0,0.77419806,0.4891043,0.23823163
15,1.0,1.0,1.0,0.7675158,0.54195786,0.29928124
16,1.0,0.0,0.0,0.8064775,0.5197612,0.24798484
17,1.0,1.0,1.0,0.84416425,0.6127039,0.29362246
18,0.0,0.0,0.0,0.4369205,0.25937825,0.13895273
19,0.0,0.0,0.0,0.6489517,0.41404766,0.20061867
20,1.0,0.0,0.0,0.69029856,0.3743696,0.20963185
21,0.0,0.0,0.0,0.5293782,0.29872763,0.15328375
22,1.0,1.0,1.0,0.8708575,0.55067635,0.28357375
23,0.0,0.0,0.0,0.5408092,0.3143327,0.1653086
24,1.0,1.0,0.0,0.83423066,0.5630419,0.2394588
25,1.0,1.0,1.0,0.9010788,0.60938144,0.31341204
26,0.0,0.0,0.0,0.57635885,0.32202682,0.16700195
27,1.0,0.0,0.0,0.68463403,0.44933605,0.22484404
28,1.0,1.0,0.0,0.75391006,0.5328836,0.27081192
29,0.0,0.0,0.0,0.40485775,0.21780859,0.1260137
30,0.0,0.0,0.0,0.4824872,0.28822646,0.15813096
