,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
0,25.879999,3.363550876,4.931946845,6.789309745,6.298760942,3.467743888,4.984129303,25.879999,3.114476484,4.290064788,6.779702655,6.199354913,3.46451043,25.879999,3.114476484,4.290064788,6.779702655,6.199354913,3.46451043,1,,,,,,,,,,,,,,,,
1,25.879999,3.369060217,4.919201208,6.783162668,6.274801985,3.469138961,4.865479764,,,,,,,3.8800001,2.736269742,3.404497897,6.806230976,6.139375022,3.433883537,2,,,,,,,,,,,,,,,,
2,25.879999,3.275180503,4.796048432,6.717629679,6.224825391,3.471561611,5.096256269,,,,,,,14.53,3.000869574,4.295253638,6.791972466,6.225173402,3.455696825,3,,,,,,,,,,,,,,,,
3,25.879999,2.952464332,3.972660674,6.780775635,6.127811361,3.447875069,5.003728722,,,,,,,1.3,2.56693613,3.501363234,6.414879769,5.808838577,3.191106931,4,,,,,,,,,,,,,,,,
4,25.879999,2.874128272,3.585161304,6.790459488,6.121382071,3.467739455,4.947463979,,,,,,,3.6800001,2.637746331,3.620071251,6.631639357,6.01451007,3.380465365,5,,,,,,,,,,,,,,,,
5,25.879999,2.852474703,3.535370266,6.816878712,6.148547731,3.463003598,4.932929495,,,,,,,1.25,2.671368252,3.640279706,6.754011398,6.040158288,3.41745432,6,,,,,,,,,,,,,,,,
6,3.8800001,3.022328453,3.86369744,6.689098181,6.179501601,3.471526989,4.98876935,3.8800001,2.736269742,3.404497897,6.806230976,6.139375022,3.433883537,13.65,2.415140691,2.945810864,6.767460517,6.019209327,3.387524314,7,,,,,,,,,,,,,,,,
7,3.8800001,2.712560291,3.338005162,6.649455236,6.041396262,3.471650461,5.008333466,,,,,,,24.450001,3.140114835,4.111202469,6.881185929,6.348681554,3.454056358,8,,,,,,,,,,,,,,,,
8,3.8800001,3.136703937,3.98742994,6.784631438,6.258399955,3.468375644,5.027104834,,,,,,,12.13,3.070593606,4.096281426,6.886799185,6.303603265,3.047361466,9,,,,,,,,,,,,,,,,
9,3.8800001,3.130106624,4.450916352,6.748696657,6.233351877,3.467719803,4.9920953,,,,,,,3.25,2.775497099,3.689929738,6.771701242,6.147728034,3.432302939,10,,,,,,,,,,,,,,,,
10,3.8800001,2.427416447,2.789406771,6.924730588,6.088119648,3.385822506,4.967174518,,,,,,,27.65,3.197251547,4.603552847,6.878219054,6.345633603,3.463329291,11,,,,,,,,,,,,,,,,
11,3.8800001,2.418585401,2.777463884,6.933653691,6.106820667,3.374497482,4.938440511,,,,,,,4.8000002,2.643170006,3.475396233,6.710219171,6.064119814,3.434421146,12,,,,,,,,,,,,,,,,
12,3.8800001,2.306187043,2.62456573,6.913351041,6.068035144,3.397591873,4.881766204,,,,,,,14.13,3.311807957,4.672786812,6.949011998,6.475037632,3.462460958,13,,,,,,,,,,,,,,,,
13,14.53,3.261611356,4.9070018,6.716667278,6.236193352,3.469295258,4.946304862,14.53,3.000869574,4.295253638,6.791972466,6.225173402,3.455696825,33.450001,3.570167095,5.191086159,6.949764926,6.532989176,3.46146328,14,,,,,,,,,,,,,,,,
14,14.53,3.371749999,5.09722657,6.728569553,6.278479934,3.469200346,4.985348463,,,,,,,19.15,3.056889981,4.187665772,6.859044557,6.284991125,3.463235567,15,,,,,,,,,,,,,,,,
15,14.53,3.274559875,4.959356813,6.708816956,6.251298537,3.469113744,4.933886253,,,,,,,19.93,3.23000761,4.380289776,6.833467665,6.281943929,3.469892854,16,,,,,,,,,,,,,,,,
16,14.53,2.681987331,3.504242442,6.862223583,6.16026986,3.443306688,4.935519651,,,,,,,42.880001,3.426126016,4.711123663,6.901747945,6.439886369,3.469102091,17,,,,,,,,,,,,,,,,
